,Time, thumbProximal_L_X, thumbProximal_L_Y, thumbProximal_L_Z, thumbDistal_L_X, thumbDistal_L_Y, thumbDistal_L_Z, thumbEF_L_X, thumbEF_L_Y, thumbEF_L_Z, indexProximal_L_X, indexProximal_L_Y, indexProximal_L_Z, indexMedial_L_X, indexMedial_L_Y, indexMedial_L_Z, indexDistal_L_X, indexDistal_L_Y, indexDistal_L_Z, indexEF_L_X, indexEF_L_Y, indexEF_L_Z, middleProximal_L_X, middleProximal_L_Y, middleProximal_L_Z, middleMedial_L_X, middleMedial_L_Y, middleMedial_L_Z, middleDistal_L_X, middleDistal_L_Y, middleDistal_L_Z, middleEF_L_X, middleEF_L_Y, middleEF_L_Z, ringProximal_L_X, ringProximal_L_Y, ringProximal_L_Z, ringMedial_L_X, ringMedial_L_Y, ringMedial_L_Z, ringDistal_L_X, ringDistal_L_Y, ringDistal_L_Z, ringEF_L_X, ringEF_L_Y, ringEF_L_Z, pinkyProximal_L_X, pinkyProximal_L_Y, pinkyProximal_L_Z, pinkyMedial_L_X, pinkyMedial_L_Y, pinkyMedial_L_Z, pinkyDistal_L_X, pinkyDistal_L_Y, pinkyDistal_L_Z, pinkyEF_L_X, pinkyEF_L_Y, pinkyEF_L_Z, palm_L_X, palm_L_Y, palm_L_Z, wrist_L_X, wrist_L_Y, wrist_L_Z, handBaseRadius_L_X, handBaseRadius_L_Y, handBaseRadius_L_Z, elbow_L_X, elbow_L_Y, elbow_L_Z, armFrontRadius_L_X, armFrontRadius_L_Y, armFrontRadius_L_Z, armFrontUlna_L_X, armFrontUlna_L_Y, armFrontUlna_L_Z, armBackLateral_L_X, armBackLateral_L_Y, armBackLateral_L_Z, armBackMedial_L_X, armBackMedial_L_Y, armBackMedial_L_Z
0,22:16:47.511 PM,-0.09263338,-0.0687225,0.4504573,-0.09815796,-0.07723568,0.4763377,-0.1105979,-0.08571792,0.4880598,-0.1011991,-0.03197853,0.4743726,-0.09294056,-0.06352979,0.4871518,-0.09588739,-0.0741915,0.4708422,-0.0997261,-0.07338046,0.4574757,-0.1208439,-0.03422442,0.4754903,-0.1064448,-0.06904252,0.4866612,-0.1064295,-0.07890677,0.4656793,-0.1101574,-0.07528555,0.451266,-0.1399774,-0.04015075,0.4716648,-0.124758,-0.07117176,0.483202,-0.1219601,-0.08017012,0.4626754,-0.1244729,-0.07690527,0.4480095,-0.1560596,-0.04967448,0.4674409,-0.1408732,-0.07109375,0.4793455,-0.1368484,-0.07809162,0.4655929,-0.1386416,-0.07653499,0.4517414,-0.1228636,-0.0457291,0.4557211,-0.1342669,-0.06921859,0.3930793,-0.1039239,-0.06411293,0.4074824,-0.2127978,-0.2256357,0.2264967,-0.1202003,-0.07806598,0.3772317,-0.1561866,-0.07601291,0.3922687,-0.1948047,-0.2266622,0.2189782,-0.230791,-0.2246092,0.2340152
1,22:16:47.546 PM,-0.09293338,-0.06854416,0.4501818,-0.09844708,-0.07703075,0.4760732,-0.1108949,-0.08547726,0.4878127,-0.1014361,-0.03176552,0.4740921,-0.09326153,-0.06333254,0.4868863,-0.09620913,-0.07399715,0.4705788,-0.1000295,-0.0731805,0.4572074,-0.1210862,-0.0339638,0.47521,-0.1067756,-0.06881696,0.4863854,-0.106766,-0.07868086,0.4654033,-0.1104764,-0.07504301,0.4509898,-0.1402338,-0.03984538,0.471386,-0.1250865,-0.07091032,0.4828997,-0.1223155,-0.07991035,0.4623702,-0.1248295,-0.07662264,0.4477096,-0.1563387,-0.04933178,0.4671648,-0.1411988,-0.07079467,0.47905,-0.1371926,-0.07780038,0.465296,-0.1389908,-0.0762274,0.4514469,-0.123133,-0.04546997,0.4554445,-0.1346096,-0.06893569,0.3928046,-0.1042364,-0.06391485,0.4072122,-0.2138623,-0.2248897,0.2261298,-0.1205919,-0.0778101,0.3769288,-0.1565525,-0.07565667,0.3920129,-0.1958819,-0.2259664,0.2185877,-0.2318426,-0.223813,0.2336718
2,22:16:47.581 PM,-0.09294939,-0.0686691,0.4499985,-0.09846954,-0.07715334,0.4758893,-0.1109284,-0.08557822,0.4876327,-0.1013836,-0.03186518,0.4739194,-0.0932733,-0.06345937,0.4866874,-0.09624475,-0.07410613,0.4703725,-0.1000644,-0.07327709,0.4570017,-0.121038,-0.03402618,0.4750358,-0.106802,-0.06892344,0.4861688,-0.1067943,-0.07875153,0.4651699,-0.1104866,-0.07508171,0.4507598,-0.1401966,-0.03987022,0.4712094,-0.1251053,-0.07098207,0.4826699,-0.1223631,-0.07995686,0.4621256,-0.1248809,-0.07663633,0.4474731,-0.1563194,-0.0493248,0.4669851,-0.1412152,-0.07083172,0.4788361,-0.1372297,-0.07782692,0.4650707,-0.1390363,-0.07622582,0.4512259,-0.1231059,-0.04552351,0.4552673,-0.134662,-0.06891294,0.3926067,-0.1042422,-0.06399241,0.4070314,-0.2150748,-0.2238316,0.225522,-0.1207302,-0.07777817,0.3766503,-0.156635,-0.07553958,0.3918546,-0.1971224,-0.2249509,0.2179199,-0.2330272,-0.2227123,0.2331242
3,22:16:47.616 PM,-0.09267456,-0.06896719,0.4498271,-0.09815218,-0.07749355,0.4757131,-0.1105887,-0.08591563,0.4874821,-0.1010345,-0.03215656,0.473829,-0.0929333,-0.06376797,0.4865601,-0.09598354,-0.07442182,0.4702644,-0.09985072,-0.07360959,0.4569063,-0.120691,-0.03428784,0.4749642,-0.1064917,-0.06922776,0.4860097,-0.1065622,-0.07901676,0.4649927,-0.1102839,-0.07532538,0.4505956,-0.1398634,-0.04009429,0.4711495,-0.1248081,-0.07125488,0.4825248,-0.1221122,-0.08018136,0.4619533,-0.1246459,-0.076821,0.4473125,-0.1560063,-0.0495155,0.4669273,-0.1409221,-0.07106967,0.4787178,-0.1369709,-0.07803635,0.4649281,-0.1387986,-0.07639563,0.4510908,-0.1228001,-0.04574728,0.4551781,-0.1344758,-0.06902483,0.3925011,-0.1040214,-0.06416231,0.4068883,-0.2155983,-0.2237793,0.2256079,-0.1205979,-0.0779254,0.3765175,-0.1564659,-0.07559972,0.3917955,-0.1976643,-0.2249421,0.2179689,-0.2335323,-0.2226165,0.2332469
4,22:16:47.652 PM,-0.092575,-0.06915538,0.4495833,-0.09801369,-0.0777221,0.4754642,-0.1104321,-0.0861312,0.4872616,-0.1007866,-0.0323313,0.4736699,-0.0927196,-0.06397595,0.48634,-0.09587544,-0.07462329,0.4700602,-0.09980109,-0.0738166,0.4567188,-0.1204465,-0.03441373,0.4748351,-0.1063178,-0.06941532,0.4857754,-0.1064655,-0.0791512,0.4647341,-0.1102067,-0.07542792,0.4503503,-0.1396405,-0.04016328,0.4710428,-0.1246457,-0.07138787,0.4823218,-0.1220164,-0.08026642,0.4617209,-0.1245695,-0.07686546,0.447093,-0.1558151,-0.0495346,0.4668308,-0.1407657,-0.07115196,0.4785498,-0.1368643,-0.078091,0.4647321,-0.138718,-0.07640934,0.4509031,-0.1226195,-0.04583046,0.4550312,-0.1344369,-0.06900786,0.3923536,-0.1039722,-0.06420338,0.4066746,-0.215559,-0.2243237,0.2259824,-0.1205533,-0.07798305,0.3764167,-0.1564327,-0.07556425,0.3916533,-0.1976193,-0.2255331,0.2183641,-0.2334987,-0.2231143,0.2336007
5,22:16:47.675 PM,-0.09250087,-0.06917839,0.4495035,-0.09791476,-0.07776047,0.4753845,-0.1103205,-0.08616936,0.4871954,-0.1006743,-0.03235315,0.4736215,-0.09260593,-0.06401038,0.4862593,-0.09580036,-0.07464978,0.4699818,-0.09975049,-0.07384086,0.4566478,-0.1203342,-0.03442614,0.4748036,-0.106213,-0.06944405,0.4857013,-0.1063932,-0.07915968,0.4646509,-0.1101484,-0.07542652,0.4502733,-0.1395346,-0.04016349,0.4710254,-0.1245454,-0.0714035,0.4822692,-0.1219425,-0.08026502,0.4616576,-0.1245074,-0.07685381,0.4470341,-0.1557179,-0.04952399,0.4668227,-0.1406688,-0.07115617,0.4785149,-0.1367876,-0.07808353,0.4646856,-0.1386551,-0.07638964,0.4508599,-0.1225313,-0.04582998,0.4549949,-0.1344223,-0.06898239,0.3923303,-0.1039378,-0.06418383,0.4066103,-0.2151209,-0.2250358,0.2264426,-0.120505,-0.07800294,0.3764485,-0.1564094,-0.07556717,0.3916234,-0.1971687,-0.2262536,0.2188551,-0.2330731,-0.2238179,0.2340301
6,22:16:47.711 PM,-0.09260961,-0.06869966,0.4494869,-0.09801742,-0.07725936,0.4753766,-0.110398,-0.08570012,0.4871911,-0.1009777,-0.03185713,0.4735244,-0.09276606,-0.06345163,0.4862266,-0.09593705,-0.07413995,0.4699766,-0.09990594,-0.0733797,0.4566453,-0.1206294,-0.03401572,0.4746916,-0.1063548,-0.06893702,0.4856989,-0.1064881,-0.07872669,0.4646825,-0.1102558,-0.07506591,0.4502896,-0.1398002,-0.03984667,0.4709066,-0.1246845,-0.07098733,0.4822561,-0.1220125,-0.07989779,0.4616745,-0.1245713,-0.07654388,0.4470367,-0.1559373,-0.04928805,0.4667072,-0.1408067,-0.07082108,0.4784769,-0.1368755,-0.07776901,0.464672,-0.138731,-0.07612273,0.450839,-0.122756,-0.04546949,0.454904,-0.1344541,-0.06883518,0.3922848,-0.1040332,-0.06383806,0.406575,-0.2143666,-0.2258371,0.2269141,-0.1204862,-0.07785737,0.3764485,-0.1564133,-0.07551319,0.3915841,-0.1964031,-0.2270092,0.2193463,-0.2323302,-0.224665,0.2344819
7,22:16:47.750 PM,-0.09262344,-0.06908353,0.449642,-0.09804468,-0.07766047,0.4755232,-0.1104316,-0.08609828,0.4873331,-0.1009406,-0.03220639,0.4736874,-0.09272827,-0.06379662,0.4863999,-0.0959339,-0.07449485,0.4701632,-0.0999245,-0.07374498,0.4568377,-0.1205933,-0.03435411,0.4748577,-0.106334,-0.06927803,0.4858765,-0.1064784,-0.07907391,0.4648631,-0.110247,-0.07541923,0.4504689,-0.1397681,-0.04017322,0.4710748,-0.1246695,-0.07131919,0.4824326,-0.1220032,-0.08023258,0.4618516,-0.1245611,-0.07687733,0.4472139,-0.1559114,-0.0496044,0.4668762,-0.1407931,-0.07114421,0.4786493,-0.1368654,-0.07809663,0.4648457,-0.1387199,-0.07645109,0.4510125,-0.1227301,-0.04580177,0.4550678,-0.1344248,-0.06916454,0.3924507,-0.1040268,-0.06416906,0.4067307,-0.2137407,-0.2265822,0.2271878,-0.1204075,-0.07819872,0.3766649,-0.1563736,-0.07587214,0.3917103,-0.1957576,-0.2277455,0.2196651,-0.2317237,-0.2254189,0.2347105
8,22:16:47.793 PM,-0.09277742,-0.06943142,0.4498021,-0.0981743,-0.07802615,0.4756825,-0.1105478,-0.08644357,0.4875211,-0.1009297,-0.03250274,0.4738827,-0.09275138,-0.0640773,0.4866559,-0.09596855,-0.07483105,0.4704582,-0.0999605,-0.07413091,0.4571305,-0.1205852,-0.03460743,0.475082,-0.1063913,-0.06956369,0.4860827,-0.1065622,-0.07933903,0.4650599,-0.1103242,-0.07567684,0.4506659,-0.1397789,-0.04038079,0.4713244,-0.1247334,-0.07156444,0.4826492,-0.1221185,-0.08046891,0.4620577,-0.1246889,-0.07710291,0.4474247,-0.1559496,-0.04977264,0.4671436,-0.1408612,-0.07135545,0.4788761,-0.1369718,-0.07830404,0.4650598,-0.1388414,-0.0766477,0.4512299,-0.1227783,-0.04603501,0.4552865,-0.134596,-0.06929643,0.392648,-0.1041912,-0.06440663,0.4069063,-0.2139358,-0.2258938,0.226619,-0.1205783,-0.07826227,0.3768238,-0.1565478,-0.07599033,0.3918695,-0.195951,-0.2270298,0.2190961,-0.2319205,-0.2247579,0.2341419
9,22:16:47.832 PM,-0.09280775,-0.06951833,0.449753,-0.0982127,-0.07809204,0.4756386,-0.1105763,-0.08649504,0.4874977,-0.1009491,-0.03254645,0.4737967,-0.09277761,-0.06407847,0.4866789,-0.09594759,-0.07490328,0.4705193,-0.0999091,-0.07427247,0.457179,-0.1206062,-0.03464624,0.4749785,-0.1064333,-0.06959477,0.4860306,-0.1065711,-0.07937574,0.4650103,-0.1103052,-0.07573014,0.4506047,-0.1397975,-0.04041813,0.4712065,-0.1247697,-0.07159607,0.4825704,-0.1221407,-0.08050759,0.4619838,-0.1246969,-0.07714975,0.4473464,-0.1559662,-0.04980944,0.4670166,-0.1408928,-0.07138894,0.4787745,-0.1369949,-0.07834285,0.4649633,-0.1388516,-0.076694,0.4511308,-0.1227828,-0.04608682,0.4551888,-0.1345541,-0.06936432,0.3925422,-0.1041532,-0.06449527,0.4068388,-0.2140168,-0.2255161,0.2261527,-0.1205436,-0.07830407,0.3766968,-0.1565109,-0.07603975,0.3917487,-0.1960331,-0.2266483,0.2186267,-0.2320004,-0.224384,0.2336787
